No. Rekening,1234567890,
Nama,REDACTED NAME,
Mata Uang,IDR,

Tanggal,Keterangan,Cabang,Jumlah,,Saldo
'31/12/2025,PRIOR YEAR CREDIT,0000,42.00,CR,42.00
'01/01/2026,EXACT DEBIT,0000,1000.00,DB,9042.00
'02/01/2026,CARD PURCHASE TGL: 0101,0000,500.00,DB,8542.00
'01/01/2026,YEAR BOUNDARY PURCHASE TGL: 1231,0000,300.00,DB,8242.00
'03/01/2026,MISSING WITH NEAR HINT,0000,700.00,DB,7542.00
'04/01/2026,DUPLICATE CREDIT A,0000,100.00,CR,7642.00
'04/01/2026,DUPLICATE CREDIT B,0000,100.00,CR,7742.00
'05/01/2026,DECIMAL CREDIT,0000,250.50,CR,7992.50
'06/01/2026,ADMIN FEE,0000,10.00,DB,7982.50
Saldo Awal,0.00,
Kredit,392.50,
Debet,2510.00,
Saldo Akhir,7982.50,
